chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
"SODIUM CHLORATE SOLUTION, 50%","Chlorate of soda; Soda chloric acid, sodium salt",2428,SDD,NaClO3,Yellow liquid; odorless,1.5,,170°C 338°F,19°С 65°F,,,,Soluble,Non-flammable. Classified as an oxidizer.,NA,,Non-flammable solution,,,"Contact with organic substances, sulfur, sulfides, powdered metals, phosphorous or ammonium compounds can cause fire and explosion. Sodium chlorate supplies its own oxygen for combustion. Use copious amounts of water.",Decomposes at high temperatures. Acts as an oxidizer. Not flammable but supports combustion.,"0,1,1",Unavailable,Unavailable,Unavailable,"Ingestion results in abdominal pain, nausea, vomiting, and cyanosis.",LD50 for rats is 1200 mg/kg. Ingestion of 15 to 30 grams may be fatal.,,,For ingestion induce vomiting if victim is conscious. Flush skin and eyes with large amounts of water.,"Stable, but product decomposes at 300°F and liberates oxygen.",Stainless steel or lined steel are preferred; carbon steel and aluminum are suitable for several years service.,Oxygen (above 300°F).,,Unassigned in compatibility chart. See also Appendix I—Exceptions to the Chart.,"Coveralls and rubber boots should be worn. Clothing becomes dangerously flammable when soaked with chlorates. Use no leather. Dried leather, such as shoes, become highly flammable in contact with sodium chlorate. Secure all sources of ignition. Flush spills or leaks with water. Do not let spill area dry until it has been determined that there is no chlorate left in the area. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,Irritating to the skin and eyes. No hazard from vapors. Not absorbed through the skin.,,265,USCG Hazardous Chemical Data,
"SODIUM DICHROMATE SOLUTION, 70%",Sodium bichromate; Sodium bichromate solution,,SDL,Na2Cr2O7,"Clear, red-orange liquid; no odor",1.69,Oxidizer,114°C 238°F,-38°C -36°F,,,,Complete,Non-flammable. Classified as an oxidizer.,NA,Non-flammable,Non-flammable,Non-flammable,Non-flammable,Non-flammable,"Non-flammable, but releases oxygen when heated. May ignite combustible materials upon contact.",Unavailable,None—No odor,0.05 mg/m3 as chromium,0.05 mg/m3 as chromium,"Contact—Extremely irritating to eyes and skin. Mist—Damage to mucous membranes, irritation to respiratory system.",Very irritating at low concentrations of mist.,,,"Get medical attention. Skin—Flush with soap and water for 15 minutes, remove contaminated clothing. Eyes—Flush with water for at least 15 minutes. Ingestion—Drink a quart of water, induce vomiting. If unconscious, do not attempt to give victim liquids or attempt vomiting.",Generally stable. Oxidizer reacts with reducing agents and many organics and inorganics. May ignite finely divided combustibles.,"Suitable: Mild steel, stainless steel, aluminum. Unsuitable: Copper, zinc, tin, brass, bronze, organic linings.",,,Unassigned in the compatibility chart. See Appendix I—Exceptions to the Chart.,"Avoid all contact, including breathing mists. Dike area, absorb on vermiculite or sand, place in a sealed metal container, dispose. Flush area with water. Don't allow into waterways. Wear protective clothing including goggles, gloves, boots and, if mists present, respirator. If a spill occurs, call the National Response Center, 800-424-8802.",#NAME?,Even small quantities are highly toxic if ingested or absorbed through the skin. If heated to the boiling point will generate toxic spray. Some allergic responses. May cause lung cancer.,,266,USCG Hazardous Chemical Data,
"SODIUM HYDROSULFIDE SOLUTION, 45%",Sodium bisulfide; sodium hydrogen sulfide; Sodium mercaptan; Sodium sulfhydrate,2949,SHR,NaHS/Na2S/H2O,Dark amber liquid with a rotten egg odor,1.26 to 1.28,Caustics,140°C 284°F,40°C 105°F,17.3,0.95,1.17,Complete,C: Flammable liquid,NA,73,4.3 to 45.5%,Unavailable,Carbon dioxide,Wear self-contained breathing apparatus and protective clothing.,"Moderate fire hazard due to hydrogen sulfide, a poisonous, highly flammable gas liberated when exposed to heat or flame.",Unavailable,Unavailable*,Unavailable,Unavailable,"Rapid or irregular breathing, coughing, throat irritation, bluish color, dizziness, faintness, and weak irregular pulse. Skin contact will cause a caustic type burn.",Unavailable,,,"Vapor—remove victim to fresh air. 100% oxygen inhalation is recommended. Skin—flush area with water. Eyes—flush with copious amounts of water. In all cases call a doctor. * NOTE: The odor (rotten egg) of hydrogen sulfide gas should not be used as a warning, since its presence may deaden the sense of smell.",Stable. Solution is mildly alkaline.,Corrosive to steel above 150°F. Avoid use of aluminum.,,,Group 5 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, boots, and goggles, and full skin protection. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Poisonous hydrogen sulfide may be evolved; this evolution increases with temperature. Solution itself is a skin irritant.,,267,USCG Hazardous Chemical Data,
"SODIUM HYPOCHLORITE SOLUTION, 15%","Chlorox; Hypochlorite, solutions; Javelle water; Liquid bleach; Sodium hypochlorite",1791,SHP,NaOCl,Green to yellow watery liquid; bleaching liquid odor,1.21 to 1.24,Caustic,,-9°C -15°F,,,,Soluble,Non-flammable. Classified as an oxidizer.,NA,Non-flammable,,Not pertinent,"Water spray, fog, foam, dry chemical, CO2, or agents suitable for materials in surrounding fire.",Cool tanks with water. Wear full protective clothing and self-contained breathing apparatus.,May decompose in fire generating irritating chlorine gas. Containers may explode in fire due to pressure buildup.,Unavailable,Unavailable,Unavailable,Unavailable,Toxicity and corrosivity depend upon concentration. Higher concentration of industrial grades are more damaging than concentration of household bleach (approx. 5.25% min.).,,,,"If ingested, DO NOT INDUCE vomiting, give large quantities of milk. Skin or eye contact: Flush areas with water for 15 minutes and consult physician.","Stable, but stability decreases with concentration, heat, light, decrease in pH and contamination by metals. Strong oxidizer.","Incompatible with steel, cast iron, 12 and 17% chromium steel, monel, nickel, inconel, aluminum, brass, silicon, bronze",,,Group 5 of compatibility chart.,"Wear rubber gloves and rubber safety shoes, goggles or full face shield, and respiratory protection. Disperse and flush spilled or leaking material. If a spill occurs, call the National Response Center, 800-424-8802.",* Decomposes above 110°C (230°F). † Unavailable,"Severe irritation, burns, and/or corrosion from liquid. Vapor may cause severe respiratory tract irritation and pulmonary edema.",,268,USCG Hazardous Chemical Data,
SORBITOL,"D-Glucitol; L-Gulitol; 1,2,3,4,5,6-Hexanehexol; Sorbicolan; Sorbit; Sorbo; Sorbol; Sorbostyl",,SBT,CH2OH(CHOH)4CH2OH,"White, odorless crystalline powder with a faint sweet taste.",1.49 at 150°C. (liquid),Glycol,V. High,110°C 230°F,low,low,3.2,,E: Combustible liquid,D,greater than 150,Unavailable,Unavailable,Water,Use water to cool fire exposed tanks to avoid combustion.,Slight fire hazard if exposed to heat or flame,Unavailable,None,Not pertinent,Not pertinent,Hot liquid will burn skin.,Not applicable.,,,Treat for burns resulting from contact with hot liquids.,Stable.,Mild or stainless steel is acceptable.,,,Group 20 of compatibility chart.,"Avoid contact with hot liquid. Wear goggles or face shield, protective clothing for hot liquid. Stop discharge if possible. If a spill occurs, call the National Response Center, 800-424-8802.","* Unregulated, Table 2, 46 CFR Part 153. + Unassigned",No threat of damage from vapor inhalation since the volatility of sorbitol is so low.,,269,USCG Hazardous Chemical Data,
SOYBEAN OIL,Chinese bean oil; Soyabean oil; Soy oil,,OSB,Mixture,Pale yellow liquid; weak odor,0.92 to 0.93,Esters,V. High,-20°C -4°F,2.04,0.1,NP,Slight,E: Combustible liquid,D,540,Unavailable,833,"Dry chemical, foam or carbon dioxide",Water may be ineffective on fire. Cool exposed containers with water.,Slight fire hazard when exposed to heat or flame.,Unavailable,Not pertinent,Not pertinent,Not pertinent,None,Does not penetrate skin in harmful amounts.,,,Non-toxic. Wash thoroughly with soap and water.,Stable.,Usual materials of construction are suitable. Will soften some paints and rubber.,,,Group 34 of compatibility chart.,"Wear rubber gloves, face shield and protective clothing. Secure all ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Not harmful.,,270,USCG Hazardous Chemical Data,
SPERM OIL,Whale sperm oil,,OSP,Indefinite,Light yellow oily liquid; characteristic odor,0.87 to 0.88,,V. High,,2,0.1,,Insoluble,E: Combustible liquid,D,428,Unavailable,586,"Carbon dioxide, dry chemical",Water foam may cause frothing.,Slight fire hazard when exposed to heat or flame.,"0,1,0",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,Flush affected areas with plenty of water; wash thoroughly with soap and water.,Stable.,Usual materials of construction are suitable.,,,Group 33 of compatibility chart.,"Wear rubber gloves, face shield and protective clothing. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable + Unassigned,Toxicity probably low. Details unavailable.,,271,USCG Hazardous Chemical Data,
STYRENE MONOMER,Cinnamene; Cinnamol; Ethenylbenzene; Phenylethylene; Styrene; Styrol; Styrolene; Vinylbenzene,2055,STY,C6H5CHCH2,Colorless liquid; sweet odor when pure; sharp disagreeable odor when impure,0.92,Olefin,145°C 293°F,-30°C -23°F,6,0.27,3.6,Negligible,D: Combustible liquid,D,100,1.1 to 6.1%,914,"CO2, dry chemical, water fog, foam",Avoid breathing vapors. Provide body and respiratory protection. Keep tanks cool with water spray.,Ignited by heat and open flame. Fire or contamination may cause violent rupture of tank.,"2,2,2",0.15,50,50/Skin,"Weakness, dizziness, nausea, and sleepiness.","10,000 ppm may be fatal in 30 to 60 minutes.",,,"Vapors—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Soap, if available, should be used on affected skin areas. Get medical attention.","Will readily form peroxides which catalyze polymerization unless inhibited. Heat, light, and strong acids also catalyze polymerization reaction.",Most materials of construction are suitable. Do not use copper or its alloys. Styrene can be polymerized at explosive rates by certain contaminants.,,"Readily forms peroxides which catalyze polymerization unless inhibited; heat, light, and strong acids also catalyze the reaction. Even the inhibited product, when heated above 125°F, can polymerize with the generation of so much heat that ignition is possible.",Group 30 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,"Suspected carcinogen. Vapor very irritating to eyes, moderately irritating to respiratory tract with moderate systemic effect. Liquid irritating to skin.",,272,USCG Hazardous Chemical Data,
SULFUR (molten),Brimstone; Sulfur; Sulphur,molten: 2448; solid: 1350,SXX,S,Yellow-to-brown solid; amber liquid above 238°F; sharp choking SO2 fumes usually present,1.80 at 265°F (liquid); density of solid sulfur is 2.07 g/cc,Element,444°C 832°F,114°C 238°F,V.Low,V.Low,,Negligible,E: Combustible liquid (when carried in molten state),C,335 to 370,Unavailable,374 to 428,"CO2, dry chemical, steam, water fog","Do not direct a solid stream of water into burning liquid sulfur or a steam explosion may result. When sulfur burns, sulfur dioxide (SO2) is given off. This gas is highly toxic, so firefighting personnel must be provided with respiratory protection.","Sulfur in the molten state gives off hydrogen sulfide (H2S) gas, which is poisonous and highly flammable. The rate of gas evolution depends on conditions, particularly the amount of hydrocarbon impurities present.","1,1,1",*,"TLV for H2S, 10TLV for SO2,,2","TLV for H2S, 10; TLV for SO2, 2","H2S—headache, nausea, dizziness; loss of sense of smell. SO2—severe eye and respiratory irritation.",200 ppm for 10 minutes. 100 ppm for 30 minutes. 50 ppm for one hour.,,,"Remove victim to fresh air. If breathing stops, apply artificial respiration. Oxygen, administered by trained personnel, is often helpful. Body contact with hot liquid sulfur can cause severe scalding. Do not try to remove the solidified sulfur from such a burn. Get medical attention. *NOTE: Odor alone does not give adequate warning of dangerous H2S concentrations.",Stable except in contact with oxidizing agents or reactive metals. The rate of H2S gas evolution from molten sulfur increases with agitation.,"Liquid sulfur is not corrosive to steel, but corrodes copper and its alloys. Moist sulfur is corrosive to steel.",,,Unassigned in compatibility chart.,"Avoid contact with hot liquid. Wear heavy work gloves, goggles or face shield, protective clothing for hot liquid. Have self-contained breathing apparatus available. Secure ignition sources. A major spill of liquid sulfur into navigable waters will solidify and sink, presenting no unusual hazards. If a spill occurs, call the National Response Center, 800-424-8802.",See 46 CFR 36—Elevated Temperature Cargoes.,Liquid causes severe thermal burns. Gas is poisonous by inhalation.,,273,USCG Hazardous Chemical Data,
SULFUR DIOXIDE,"Sulfur dioxide, liquefied; Sulfurous anhydride; Sulfurous oxide",1079,SFD,SO2,Compressed liquefied gas with sharp irritating odor.,1.45 (at -10°C),Acid anhydride,-10°C 14°F,-15°C -104°F,2488,84,2.2,,Liquefied Compressed Gas (LCG),NA,Non-flammable,Non-flammable,Non-flammable,Non-flammable,Cool exposed tanks with water. Wear eye protection and self-contained breathing apparatus.,"Non-flammable, but in a fire, tanks may rupture and release irritating, toxic sulfur dioxide.","4,1,4",3,2,2,Vapor—causes irritation of eyes and lungs with severe choking. Liquid will cause frostbite.,20 ppm for 5 minutes.,,,"Vapor—remove victim to fresh air. Administer oxygen if possible. Skin—flush skin with water. Eyes—wash with water for 15 minutes. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Get medical attention.","Reacts with water to form sulfurous acid, H2SO3.",The acidic reaction with water corrodes aluminum and some other metals.,"Sulfurous acid, H2SO3 (reacts with water).",,"Unassigned in compatibility chart. For compatibility assistance, call G-MTH-1 (202-267-1577).","Wear rubber gloves, eye protection, self-contained breathing apparatus, and protective clothing. Try to shut off leak. If a spill occurs, call the National Response Center, 800-424-8802.","* Reacts with water to form sulfurous acid, H2SO3.",Liquid can cause frostbite. Vapor is very irritating to the eyes and lungs even at low concentrations.,,274,USCG Hazardous Chemical Data,
SULFURIC ACID,Battery acid; Chamber acid; Fertilizer acid; Oil of vitriol,1830,SFA,H2SO4,"Colorless-to-brown oily liquid; no odor unless hot, then the odor is choking",1.56 to 1.84,Inorganic acid,340°C 644°F,10°C 50°F,Low,Low,3.4,Complete,Non-flammable. Classified as a corrosive liquid.,B (based upon possible hydrogen gas (H2) generation should a leak or spill occur),Non-flammable,Non-flammable,Non-flammable,Non-flammable,"DO NOT USE WATER to put out a fire if the water can get into concentrated sulfuric acid. In case of a fire next to a sulfuric acid tank, use respiratory protection against fumes.","Sulfuric acid will not burn. It will react with many metals, giving off hydrogen gas which is highly flammable. If hydrogen is trapped in confined spaces, it can form an explosive mixture with air. See data sheet for hydrogen.","2,4,2",Greater than 1 mg/m3,1 mg/m3,4 mg/m3,The inhalation hazard is slight at ordinary temperatures. The skin on which acid is spilled may feel hot or it may sting or itch.,10 mg/m3 for 5 minutes; 5 mg/m3 for 10 minutes; 2 mg/m3 for 30 minutes.,,,"Drench with water. Remove contaminated clothing and flow water onto affected area for 15 minutes. For eye contact, immediately flush eye with large amounts of water for 15 minutes. Get medical attention.","Stable, but can react very easily with many other materials.",Highly corrosive to most metals; particularly at concentrations below 60°Be. May cause wood or cellulose to ignite.,,,Group 2 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, self-contained breathing apparatus, protective clothing. Have body shield available. Avoid contact with liquid. Secure ignition sources because of the possibility of hydrogen gas generation. If possible, cover spill with sodium bicarbonate or soda ash-slaked lime mixture (50-50). Mix and add water to form a slurry. Scoop up slurry. Wash site with soda ash solution. Otherwise flush cautiously with water. Avoid directing stream into larger pools or pockets of concentrated acid. If a spill occurs, call the National Response Center, 800-424-8802.","CAUTION—Never add water to the acid, otherwise spattering will occur. If dilution is required, always add the acid very carefully to the water. The acid is heavier than water. Thus, the heat of solution will be more uniformly dissipated, and spattering will be avoided.",Liquid causes severe burns with destruction of tissue. Vapor very irritating.,,275,USCG Hazardous Chemical Data,
TALL OIL,Liquid rosin; Talleol; Tallol,,OTL,Mixture of rosin acids,"Yellow, oily liquid; acrid odor",0.95 to 1.00,,V. High,,1.5,0.1,NP,Negligible,E: Combustible liquid,D,380,Unavailable,Unavailable,"Foam, dry chemical or CO2",Water may be ineffective on fire. Use water to cool exposed tanks.,Slight fire hazard when exposed to heat or flame.,Unavailable,Unavailable,Unavailable,Unavailable,Skin contact will cause minor reddening.,Not pertinent,,,Skin—flush affected areas with plenty of water; wash thoroughly with soap and water.,Stable.,Usual materials of construction are suitable.,,,Group 34 of compatibility chart.,"Wear butyl rubber gloves, face shield and protective clothing. If a spill occurs, call the National Response Center, 800-424-8802.",† Unavailable + Unassigned,Avoid contact with liquid.,,276,USCG Hazardous Chemical Data,
TALLOW,Edible tallow; Inedible tallow; Tallow oil,,TLO,Fats containing C16 to C18,Dark yellow liquid with a waxy odor,0.85 to 0.89 at 70°C,Esters,V. High,2-7°C 35-45°F,2,0.1,NP,Negligible,E: Combustible liquid,D,509,Unavailable,Unavailable,"Foam, water, CO2, or dry chemical",Water may be ineffective. Cool exposed containers with water.,Slight fire hazard when exposed to heat or flame.,Not pertinent,Unavailable,Not pertinent,Not pertinent,Non-toxic.,Hot liquid can burn eyes and skin.,,,Treat burns caused by hot liquid.,Stable.,,,,Group 34 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, face shield and protective clothing for hot liquid. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,"Non-toxic, but possibility of thermal burns from hot liquid.",Page footer digit was garbled in OCR ('217'); PDF sequence confirms this is page 277.,277,USCG Hazardous Chemical Data,
"1,1,2,2-TETRACHLOROETHANE","Acetylene tetrachloride; Ethane, 1,1,2,2-tetrachloro-; Tetrachloroethane; sym-Tetrachloroethane",1702,TEC,Cl2CHCHCl2,Clear to slightly yellow liquid with chloroform-like odor,1.6,Halogenated hydrocarbons,146°C 295°F,-44°C -47°F,13,0.5,5.8,Slight,Non-flammable,NA,Non-flammable,Non-flammable,Non-flammable,Non-flammable,Wear self-contained breathing apparatus.,"Non-flammable, corrosive liquid. When heated, it emits highly toxic decomposition products.",Unavailable,0.5,1/Skin,1/Skin,"Ingestion—vomiting, diarrhea. Acute intoxication with unconsciousness, cyanosis, loss of reflexes and death. Inhalation—can be absorbed by lungs. Fatal after repeated inhalation.",10 ppm for 30 minutes.,,,"Inhalation—remove to fresh air and, if necessary, administer artificial respiration. Ingestion—induce vomiting. Eyes—flush with water for 15 minutes. Skin—remove clothing and wash skin with soap and warm water. In all cases call a doctor.",Stable.,May attack some forms of plastics.,,,Group 36 of compatibility chart.,"Wear rubber gloves, self-contained breathing apparatus and protective clothing. Secure all sources of ignition. Absorb with vermiculite and clean up. Wash site with soap and water. If a spill occurs, call the National Response Center, 800-424-8802.",,Suspected carcinogen. A powerful narcotic and liver poison.,,278,USCG Hazardous Chemical Data,
TETRAETHYLENE GLYCOL,"bis[2-(2-Hydroxyethoxy)ethyl]ether; TEG; 3,6,9-Trioxaundecane-1,11-diol",,TEG,HO(C2H4O)3C2H4OH,Colorless to pale-straw colored liquid; sweet odor,1.13,Glycol ether,327°C 621°F,-6°C -20°F,Low,Low,6.7,Complete,E: Combustible liquid,C,345,Unavailable,Unavailable,"Alcohol foam, CO2, water, dry chemical",Water may cause frothing. Cool exposed tanks with water.,Slight fire hazard when exposed to heat or flame.,"0,0,0",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,Vapor—remove victim to fresh air. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.,"No spontaneous decomposition, not dangerously reactive.",Steel or stainless steel recommended.,,,Group 40 of compatibility chart.,"Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,"Low to no toxicity; no skin, ingestive or inhalation effects.",,279,USCG Hazardous Chemical Data,
TETRAETHYLENE PENTAMINE,"1,11-Diamino-3,6,9-triazaundecane",2320,TTP,NH2(CH2CH2NH)3CH2CH2NH2,Viscous liquid; amine odor,1,Amine,333°C 631°F,-30°C -22°F,Low,low,6.8,appreciable,E: Combustible liquid,C,325,Unavailable,572,"CO2, dry chemical, alcohol foam",Firefighters should wear full-protective clothing and self-contained breathing apparatus.,"When heated to decomposition, it emits toxic fumes of nitrogen compounds.","1,2,2",Unavailable,Unavailable,Unavailable,Burning eyes and skin.,An 8 hour exposure to a saturated vapor-air mixture caused no deaths.,,,Skin or eye contact: Remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical attention as soon as possible.,Stable.,Avoid copper and copper alloys.,,,Group 7 of compatibility chart.,"If possible, wear butyl rubber gloves, face shield or all-purpose canister respirator, protective clothing. If possible cover spill with sodium bisulfate. Spray with water and wash up. If a spill occurs, call the National Response Center, 800-424-8802.",,Liquid causes severe eye and skin burns,"Health Hazard Ratings printed as '14 2; 2' in source; interpreted as '1,2,2'.",280,USCG Hazardous Chemical Data,
TETRAHYDROFURAN,"Diethylene oxide; Furan, tetrahydro-; Tetramethylene oxide; THF",2056,THF,(C2H4)2O,Colorless liquid; ether-like odor,0.89,Ether,66°C 150°F,-108°C -162°F,142,7.7,1.35,appreciable,C: Flammable liquid,C,6,2.0 to 11.8%,610,"CO2, dry chemical, alcohol foam, water spray.",Gives off toxic fumes when heated. Provide respiratory protection for firefighters. Water may be ineffective.,Dangerous fire hazard; moderate explosion hazard. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.,Unavailable,400*,200,200,Irritation of eyes and mucous membranes; headache or drowsiness.,500 ppm for 30 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention. Exposure to a potentially dangerous vapor concentration can occur before the product is detected by smell.",May form explosive peroxides upon storage or exposure to light. Should be stabilized to prevent peroxide formation.,This compound dissolves rubber.,,,Group 41 of compatibility chart.,"Wear polyethylene gloves, protective clothing and face shield. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",* NOTE: Detectable odor is greater than the TLV. Exposure to a potentially dangerous vapor concentration can occur before the product is detected by smell.,Liquid irritating on contact. Vapor inhalation causes severe irritation of mucous membranes with strong narcotic action resulting in severe headache and drowsiness.,,281,USCG Hazardous Chemical Data,
TETRAHYDRONAPHTHALENE,"1,2,3,4-Tetrahydronaphthalene; Tetralin; Tetraline; Tetramp; Tetranap",,THN,C10H12,Colorless liquid; odor similar to turpentine,0.98,Aromatic hydrocarbons,206°C 402°F,-25°C -13°F,Low,0.02,4.55,Insoluble,E: Combustible liquid,D,172,"LEL=0.8%, at 100°C. UEL=5.0%, at 150°C.",722,"Foam, carbon dioxide, dry chemical",Water may be ineffective on fire.,Moderate fire hazard when exposed to heat or flame.,"1,1,2",Unavailable,Unavailable,Unavailable,"Vapor causes headache, vomiting, eye irritation, and coughing. Skin contact is irritating.",Unavailable,,,"Ingestion—induce vomiting. Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.","Fairly stable but will, however, polymerize and oxidize giving rise to discoloration and resinous material.",Some rubber and plastics unsuitable.,,Can polymerize giving rise to discoloration and resinous material.,Group 32 of compatibility chart.,"Wear polyethylene gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.","* Pollution Category C oil-like, 33 CFR 151.49. + Unassigned",Vapor irritating at high concentrations.,,282,USCG Hazardous Chemical Data,
TOLUENE,"Benzene, methyl-; Methacide; Methylbenzene; Methylbenzol; Phenylmethane; Toluol",1294,TOL,C6H5CH3,Colorless liquid; benzene-like odor,0.87,Aromatic hydrocarbon,111°C 231°F,-95°C -139°F,,1.1,3.14,Negligible,C: Flammable liquid,D,45,1.27 to 7.0%,1026,"CO2, dry chemical, foam, water fog",Fight the same as a petroleum fire. The vapors are more toxic than those of petroleum and should be avoided. A fire should be fought in the same manner as any Grade C flammable petroleum product.,Dangerous fire hazard when exposed to heat or flame; moderate explosion hazard when exposed to flame.,"1,1,2",0.17,100,100,"Nausea, dizziness and headache. The victim may appear to be drunk.","Inhalation of 600 ppm for 30 minutes has caused severe fatigue, mental confusion, nausea, dizziness and headache.",,,"Ingestion—do NOT induce vomiting. Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Stable.,"Rubber exposed to toluene will swell, soften, and deteriorate. Most metals are compatible with toluene.",,,Group 32 of compatibility chart.,"Wear plastic gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.","* Pollution Category C oil-like, 33 CFR 151.49. ** Vapor Pressure: 28 mmHg at 25°C.","Liquid slightly irritating. Vapor inhalation has moderate narcotic effect causing dizziness and headache, with severe fatigue and mental confusion.",,283,USCG Hazardous Chemical Data,
TOLUENEDIAMINE,"Benzenediamine, ar-methyl-; 2,4-Diaminotoluene; 2,4-Tolamine; 2,4-Toluenediamine; 4-m-Toluenediamine; m-Toluenediamine; Tolylenediamine; 2,4-Tolylenediamine; m-Tolylenediamine",,TDA,CH3C6H3(NH2)2,Colorless crystals; ammonia-like odor,Unavailable,Aromatic amines,283°C 541°F,88°C 190°F,,,,Soluble,E: Combustible liquid,NA,284,Unavailable,842,"Water, CO2, foam",Use complete protective clothing and self-contained breathing apparatus.,"Toxic gases, NH3, CO, oxides of nitrogen, released by high temperature or combustion.",Unavailable,Unavailable,Unavailable,Unavailable,Irritation and blisters upon contact.,LC50 for rats in 1 hour was 5.3 mg/l.,,,"Remove to fresh air, administer artificial respiration or oxygen as necessary. Flush eyes thoroughly with water for 15 minutes. Wash skin with luke warm, not hot water.",,"Incompatible with aluminum, copper, zinc, brass and bronze.",,,Group 9 of compatibility chart.,"Evacuate area. Avoid contact with hot liquid. Wear full protective equipment and self-contained breathing apparatus. Contain spill and allow to solidify. Scoop into drains. Rinse down area with water. Prevent entry into sewers or water courses. If a spill occurs, call the National Response Center, 800-424-8802.",* Vapor Pressure: 1 mmHg at 107°F. + Unavailable + Unassigned,Suspected carcinogen. Causes thermal burns in molten state. Toxic to the liver and central nervous system.,,284,USCG Hazardous Chemical Data,
