49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,Lithium nitride,4.3,UN2806,I,4.3,"A19, IB4, IP1, N40",None,211,242,Forbidden,15 kg,E,,,
,Lithium peroxide,5.1,UN1472,II,5.1,"A9, IB6, IP2, N34, T3, TP33",152,212,None,5 kg,25 kg,A,"13, 52, 66, 75",,
,Lithium silicon,4.3,UN1417,II,4.3,"A19, A20, IB7, IP2, T3, TP33",151,212,241,15 kg,50 kg,A,"85, 103",,
,"LNG, see Methane etc. (UN 1972)",,,,,,,,,,,,,,
,London purple,6.1,UN1621,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"LPG, see Petroleum gases, liquefied",,,,,,,,,,,,,,
,"Lye, see Sodium hydroxide, solutions",,,,,,,,,,,,,,
,Magnesium alkyls,4.2,UN3053,I,"4.2, 4.3","B11, T21, TP2, TP7",None,181,244,Forbidden,Forbidden,D,18,,
,Magnesium aluminum phosphide,4.3,UN1419,I,"4.3, 6.1","A19, N34, N40",None,211,242,Forbidden,15 kg,E,"40, 52, 85",,
+ ,Magnesium arsenate,6.1,UN1622,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Magnesium bisulfite solution, see Bisulfites, aqueous solutions, n.o.s.",,,,,,,,,,,,,,
,Magnesium bromate,5.1,UN1473,II,5.1,"A1, IB8, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Magnesium chlorate,5.1,UN2723,II,5.1,"IB8, IP2, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Magnesium diamide,4.2,UN2004,II,4.2,"A8, A19, A20, IB6, T3, TP33",None,212,241,15 kg,50 kg,C,,,
,Magnesium diphenyl,4.2,UN2005,I,4.2,"173, T21, TP7, TP33",None,187,244,Forbidden,Forbidden,C,,,
,"Magnesium dross, wet or hot",Forbidden,,,,,,,,,,,,,
,Magnesium fluorosilicate,6.1,UN2853,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,52,,
,"Magnesium granules, coated, particle size not < 149 microns",4.3,UN2950,III,4.3,"A1, A19, IB8, IP4, T1, TP33",151,213,240,25 kg,100 kg,A,52,,
,Magnesium hydride,4.3,UN2010,I,4.3,"A19, N40",None,211,242,Forbidden,15 kg,E,52,,
,Magnesium nitrate,5.1,UN1474,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,"Magnesium or Magnesium alloys with > 50% magnesium in pellets, turnings or ribbons",4.1,UN1869,III,4.1,"A1, IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,"39, 52, 53, 74, 101",,
,Magnesium perchlorate,5.1,UN1475,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,Magnesium peroxide,5.1,UN1476,II,5.1,"IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"13, 52, 66, 75",,
,Magnesium phosphide,4.3,UN2011,I,"4.3, 6.1","A19, N40",None,211,None,Forbidden,15 kg,E,"40, 52, 85",,
,"Magnesium, powder or Magnesium alloys, powder",4.3,UN1418,I,"4.3, 4.2","A19, B56",None,211,244,Forbidden,15 kg,A,"39, 52",,
,"Magnesium, powder or Magnesium alloys, powder",4.3,UN1418,II,"4.3, 4.2","A19, B56, IB5, IP2, T3, TP33",None,212,241,15 kg,50 kg,A,"39, 52",,
,"Magnesium, powder or Magnesium alloys, powder",4.3,UN1418,III,"4.3, 4.2","A19, B56, IB8, IP4, T1, TP33",None,213,241,25 kg,100 kg,A,"39, 52",,
,"Magnesium scrap, see Magnesium, etc. (UN 1869)",,,,,,,,,,,,,,
,Magnesium silicide,4.3,UN2624,II,4.3,"A19, A20, IB7, IP2, T3, TP33",151,212,241,15 kg,50 kg,B,"85, 103",,
,"Magnetized material, see §173.21",,,,,,,,,,,,,,
,Maleic anhydride,8,UN2215,III,8,"IB8, IP3, T1, TP33",154,213,240,25 kg,100 kg,A,,,
,"Maleic anhydride, molten",8,UN2215,III,8,"T4, TP3",None,213,240,Forbidden,Forbidden,A,,,
,Malononitrile,6.1,UN2647,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,12,,
,Mancozeb (manganese ethylenebisdithiocarbamate complex with zinc) see Maneb,,,,,,,,,,,,,,
,Maneb or Maneb preparations with not < 60% maneb,4.2,UN2210,III,"4.2, 4.3","57, A1, A19, IB6, T1, TP33",None,213,242,25 kg,100 kg,A,34,,
,"Maneb stabilized or Maneb preparations, stabilized against self-heating",4.3,UN2968,III,4.3,"54, A1, A19, IB8, IP4, T1, TP33",151,213,242,25 kg,100 kg,B,"34, 52",,
,Manganese nitrate,5.1,UN2724,III,5.1,"A1, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,Manganese resinate,4.1,UN1330,III,4.1,"A1, IB6, T1, TP33",151,213,240,25 kg,100 kg,A,,,
,Mannitan tetranitrate,Forbidden,,,,,,,,,,,,,
,Mannitol hexanitrate (dry),Forbidden,,,,,,,,,,,,,
,"Mannitol hexanitrate, wetted or Nitromannite, wetted with not < 40% water, or mixture of alcohol and water, by mass",1.1D,UN0133,II,1.1D,121,None,62,None,Forbidden,Forbidden,10,,,
,"Marine pollutants, liquid or solid, n.o.s., see Environmentally hazardous substances, liquid or solid, n.o.s.",,,,,,,,,,,,,,
,"Matches, block, see Matches, 'strike anywhere'",,,,,,,,,,,,,,
,"Matches, fusee",4.1,UN2254,III,4.1,,186,186,None,Forbidden,Forbidden,A,,,
,"Matches, safety (book, card or strike on box)",4.1,UN1944,III,4.1,,186,186,None,25 kg,100 kg,A,,,
,"Matches, strike anywhere",4.1,UN1331,III,4.1,,186,186,None,Forbidden,Forbidden,B,,,
,"Matches, wax, Vesta",4.1,UN1945,III,4.1,,186,186,None,25 kg,100 kg,B,,,
,"Matting acid, see Sulfuric acid",,,,,,,,,,,,,,
,"Medicine, liquid, flammable, toxic, n.o.s.",3,UN3248,II,"3, 6.1","36, IB2",150,202,None,1 L,5 L,B,40,,
,"Medicine, liquid, flammable, toxic, n.o.s.",3,UN3248,III,"3, 6.1","36, IB3",150,203,None,5 L,5 L,A,,,
,"Medicine, liquid, toxic, n.o.s.",6.1,UN1851,II,6.1,36,153,202,243,5 L,5 L,C,40,,
,"Medicine, liquid, toxic, n.o.s.",6.1,UN1851,III,6.1,36,153,203,241,5 L,5 L,C,40,,
,"Medicine, solid, toxic, n.o.s.",6.1,UN3249,II,6.1,"36, T3, TP33",153,212,None,5 kg,5 kg,C,40,,
,"Medicine, solid, toxic, n.o.s.",6.1,UN3249,III,6.1,"36, T1, TP33",153,213,None,5 kg,5 kg,C,40,,
,"Memtetrahydrophthalic anhydride, see Corrosive liquids, n.o.s.",,,,,,,,,,,,,,
,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s.",3,UN3336,I,3,"T11, TP2",150,201,243,1 L,30 L,E,95,,
,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s.",3,UN3336,II,3,"IB2, T7, TP1, TP8, TP28",150,202,242,5 L,60 L,B,95,,
,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s.",3,UN3336,III,3,"B1, B52, IB3, T4, TP1, TP29",150,203,241,60 L,220 L,B,95,,
,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3,UN1228,II,"3, 6.1","IB2, T11, TP2, TP27",None,202,243,Forbidden,60 L,B,"40, 95",,
,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3,UN1228,III,"3, 6.1","A6, B1, IB3, T7, TP1, TP28",150,203,242,5 L,220 L,A,"40, 95",,
,"Mercaptans, liquid, toxic, flammable, n.o.s. or Mercaptan mixtures, liquid, toxic, flammable, n.o.s., flash point not < 23 degrees C",6.1,UN3071,II,"6.1, 3","A6, IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,C,"40, 121",,
,5-Mercaptotetrazol-1-acetic acid,1.4C,UN0448,II,1.4C,,None,62,None,Forbidden,75 kg,9,,,
,Mercuric arsenate,6.1,UN1623,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercuric chloride,6.1,UN1624,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Mercuric compounds, see Mercury compounds, etc",,,,,,,,,,,,,,
,Mercuric nitrate,6.1,UN1625,II,6.1,"IB8, IP2, IP4, N73, T3, TP33",153,212,242,25 kg,100 kg,A,,,
+ ,Mercuric potassium cyanide,6.1,UN1626,I,6.1,"IB7, IP1, N74, N75, T6, TP33",None,211,242,5 kg,50 kg,A,52,,
,"Mercuric sulfocyanate, see Mercury thiocyanate",,,,,,,,,,,,,,
,"Mercurol, see Mercury nucleate",,,,,,,,,,,,,,
,Mercurous azide,Forbidden,,,,,,,,,,,,,
,"Mercurous compounds, see Mercury compounds, etc",,,,,,,,,,,,,,
,Mercurous nitrate,6.1,UN1627,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
A W ,Mercury,8,UN2809,III,8,,164,164,240,35 kg,35 kg,B,"40, 97",,
,Mercury acetate,6.1,UN1629,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury acetylide,Forbidden,,,,,,,,,,,,,
,Mercury ammonium chloride,6.1,UN1630,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Mercury based pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2778,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Mercury based pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2778,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Mercury based pesticides, liquid, toxic",6.1,UN3012,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Mercury based pesticides, liquid, toxic",6.1,UN3012,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Mercury based pesticides, liquid, toxic",6.1,UN3012,III,6.1,"IB3, T7, TP2, TP28",153,203,241,60 L,220 L,A,40,,
,"Mercury based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3011,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Mercury based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3011,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Mercury based pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3011,III,"6.1, 3","IB3, T7, TP2, TP28",153,203,242,60 L,220 L,A,40,,
,"Mercury based pesticides, solid, toxic",6.1,UN2777,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Mercury based pesticides, solid, toxic",6.1,UN2777,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Mercury based pesticides, solid, toxic",6.1,UN2777,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Mercury benzoate,6.1,UN1631,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury bromides,6.1,UN1634,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Mercury compounds, liquid, n.o.s.",6.1,UN2024,I,6.1,,None,201,243,1 L,30 L,B,40,,
,"Mercury compounds, liquid, n.o.s.",6.1,UN2024,II,6.1,IB2,153,202,243,5 L,60 L,B,40,,
,"Mercury compounds, liquid, n.o.s.",6.1,UN2024,III,6.1,IB3,153,203,241,60 L,220 L,B,40,,
,"Mercury compounds, solid, n.o.s.",6.1,UN2025,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,,,
,"Mercury compounds, solid, n.o.s.",6.1,UN2025,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Mercury compounds, solid, n.o.s.",6.1,UN2025,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
A ,Mercury contained in manufactured articles,8,UN2809,III,8,,None,164,None,No limit,No limit,B,"40, 97",,
,Mercury cyanide,6.1,UN1636,II,6.1,"IB8, IP2, IP4, N74, N75, T3, TP33",153,212,242,25 kg,100 kg,A,52,,
,"Mercury fulminate, wetted with not < 20% water, or mixture of alcohol and water, by mass",1.1A,UN0135,II,1.1A,"111, 117",None,62,None,Forbidden,Forbidden,12,,,
,Mercury gluconate,6.1,UN1637,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury iodide,6.1,UN1638,II,6.1,"IB2, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury iodide aquabasic ammonobasic (Iodide of Millon's base),Forbidden,,,,,,,,,,,,,
,Mercury nitride,Forbidden,,,,,,,,,,,,,
,Mercury nucleate,6.1,UN1639,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury oleate,6.1,UN1640,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury oxide,6.1,UN1641,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury oxycyanide,Forbidden,,,,,,,,,,,,,
,"Mercury oxycyanide, desensitized",6.1,UN1642,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,"52, 91",,
,Mercury potassium iodide,6.1,UN1643,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury salicylate,6.1,UN1644,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
+ ,Mercury sulfates,6.1,UN1645,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mercury thiocyanate,6.1,UN1646,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Mesityl oxide,3,UN1229,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
G ,"Metal carbonyls, liquid, n.o.s.",6.1,UN3281,I,6.1,"5, T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
G ,"Metal carbonyls, liquid, n.o.s.",6.1,UN3281,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,B,40,,
G ,"Metal carbonyls, liquid, n.o.s.",6.1,UN3281,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,40,,
G ,"Metal carbonyls, solid, n.o.s.",6.1,UN3466,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,D,40,,
G ,"Metal carbonyls, solid, n.o.s.",6.1,UN3466,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,40,,
G ,"Metal carbonyls, solid, n.o.s.",6.1,UN3466,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,B,40,,
,"Metal catalyst, dry",4.2,UN2881,II,4.2,"IB6, IP2, N34, T3, TP33",None,187,242,Forbidden,50 kg,C,,,
,"Metal catalyst, dry",4.2,UN2881,III,4.2,"IB8, IP3, N34, T1, TP33",None,187,241,25 kg,100 kg,C,,,
,"Metal catalyst, dry",4.2,UN2881,I,4.2,"N34, T21, TP7, TP33",None,187,None,Forbidden,Forbidden,C,,,
,"Metal catalyst, wetted with a visible excess of liquid",4.2,UN1378,II,4.2,"A2, A8, IB1, N34, T3, TP33",None,212,None,Forbidden,50 kg,C,,,
,Metaldehyde,4.1,UN1332,III,4.1,"A1, IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,A,,,
,"Metal hydrides, flammable, n.o.s.",4.1,UN3182,II,4.1,"A1, IB4, T3, TP33",151,212,240,15 kg,50 kg,E,,,
,"Metal hydrides, flammable, n.o.s.",4.1,UN3182,III,4.1,"A1, IB4, T1, TP33",151,213,240,25 kg,100 kg,E,,,
,"Metal hydrides, water reactive, n.o.s.",4.3,UN1409,I,4.3,"A19, N34, N40",None,211,242,Forbidden,15 kg,D,52,,
,"Metal hydrides, water reactive, n.o.s.",4.3,UN1409,II,4.3,"A19, IB4, N34, N40, T3, TP33",151,212,242,15 kg,50 kg,D,52,,
G ,"Metallic substance, water-reactive, n.o.s.",4.3,UN3208,I,4.3,"A7, IB4",None,211,242,Forbidden,15 kg,E,40,,
G ,"Metallic substance, water-reactive, n.o.s.",4.3,UN3208,II,4.3,"A7, IB7, IP2, T3, TP33",151,212,242,15 kg,50 kg,E,40,,
G ,"Metallic substance, water-reactive, n.o.s.",4.3,UN3208,III,4.3,"A7, IB8, IP4, T1, TP33",151,213,241,25 kg,100 kg,E,40,,
G ,"Metallic substance, water-reactive, self-heating, n.o.s.",4.3,UN3209,I,"4.3, 4.2",A7,None,211,242,Forbidden,15 kg,E,40,,
G ,"Metallic substance, water-reactive, self-heating, n.o.s.",4.3,UN3209,II,"4.3, 4.2","A7, IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,E,40,,
G ,"Metallic substance, water-reactive, self-heating, n.o.s.",4.3,UN3209,III,"4.3, 4.2","A7, IB8, IP4, T1, TP33",None,213,242,25 kg,100 kg,E,40,,
,"Metal powder, self-heating, n.o.s.",4.2,UN3189,II,4.2,"IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,C,,,
,"Metal powder, self-heating, n.o.s.",4.2,UN3189,III,4.2,"IB8, IP3, T1, TP33",None,213,241,25 kg,100 kg,C,,,
,"Metal powders, flammable, n.o.s.",4.1,UN3089,II,4.1,"IB8, IP2, IP4, T3, TP33",151,212,240,15 kg,50 kg,B,,,
,"Metal powders, flammable, n.o.s.",4.1,UN3089,III,4.1,"IB6, T1, TP33",151,213,240,25 kg,100 kg,B,,,
,Metal salts of methyl nitramine (dry),Forbidden,,,,,,,,,,,,,
G ,"Metal salts of organic compounds, flammable, n.o.s.",4.1,UN3181,II,4.1,"A1, IB8, IP2, IP4, T3, TP33",151,212,240,15 kg,50 kg,B,40,,
G ,"Metal salts of organic compounds, flammable, n.o.s.",4.1,UN3181,III,4.1,"A1, IB8, IP3, T1, TP33",151,213,240,25 kg,100 kg,B,40,,
,"Methacrylaldehyde, stabilized",3,UN2396,II,"3, 6.1","45, IB2, T7, TP1, TP13",150,202,243,1 L,60 L,E,40,,
,"Methacrylic acid, stabilized",8,UN2531,II,8,"IB2, T7, TP1, TP18, TP30",154,202,242,1 L,30 L,C,40,,
+ ,"Methacrylonitrile, stabilized",3,UN3079,I,"3, 6.1","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"12, 40, 48",,
,Methallyl alcohol,3,UN2614,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Methane and hydrogen, mixtures, see Hydrogen and methane, mixtures, etc",,,,,,,,,,,,,,
,"Methane, compressed or Natural gas, compressed (with high methane content)",2.1,UN1971,,2.1,,306,302,302,Forbidden,150 kg,E,40,,
,"Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid), with high methane content)",2.1,UN1972,,2.1,"T75, TP5",None,None,318,Forbidden,Forbidden,D,40,,
,Methanesulfonyl chloride,6.1,UN3246,I,"6.1, 8","2, B9, B14, B32, B74, T20, TP2, TP12, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,40,,
+ I ,Methanol,3,UN1230,II,"3, 6.1","IB2, T7, TP2",150,202,242,1 L,60 L,B,40,,
D ,Methanol,3,UN1230,II,3,"IB2, T7, TP2",150,202,242,1 L,60 L,B,40,,
,Methazoic acid,Forbidden,,,,,,,,,,,,,
,2-Methlybutanal,3,UN3371,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,1-Methoxy-2-propanol,3,UN3092,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,4-Methoxy-4-methylpentan-2-one,3,UN2293,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
+ ,Methoxymethyl isocyanate,3,UN2605,I,"3, 6.1","1, B9, B14, B30, B72, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,40,,
,2-Methyl-1-butene,3,UN2459,I,3,"T11, TP2",None,201,243,1 L,30 L,E,,,
,3-Methyl-1-butene,3,UN2561,I,3,"T11, TP2",None,201,243,1 L,30 L,E,,,
,2-Methyl-2-butene,3,UN2460,II,3,"IB2, IP8, T7, TP1",None,202,242,5 L,60 L,E,,,
,Methyl 2-chloropropionate,3,UN2933,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,2-Methyl-2-heptanethiol,6.1,UN3023,I,"6.1, 3","2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,D,"40, 102",,
,2-Methyl-5-ethylpyridine,6.1,UN2300,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Methyl acetate,3,UN1231,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl acetylene and propadiene mixtures, stabilized",2.1,UN1060,,2.1,"N88, T50",306,304,"314, 315",Forbidden,150 kg,B,40,,
,"Methyl acrylate, stabilized",3,UN1919,II,3,"IB2, T4, TP1, TP13",150,202,242,5 L,60 L,B,,,
,Methylal,3,UN1234,II,3,"IB2, IP8, T7, TP2",None,202,242,5 L,60 L,E,,,
,"Methyl alcohol, see Methanol",,,,,,,,,,,,,,
,Methyl allyl chloride,3,UN2554,II,3,"IB2, T4, TP1, TP13",150,202,242,5 L,60 L,E,,,
,"Methylamine, anhydrous",2.1,UN1061,,2.1,"N87, T50",306,304,"314, 315",Forbidden,150 kg,B,40,,
,"Methylamine, aqueous solution",3,UN1235,II,"3, 8","B1, IB2, T7, TP1",150,202,243,1 L,5 L,E,"52, 135",,
,Methylamine dinitramine and dry salts thereof,Forbidden,,,,,,,,,,,,,
,Methylamine nitroform,Forbidden,,,,,,,,,,,,,
,Methylamine perchlorate (dry),Forbidden,,,,,,,,,,,,,
,Methylamyl acetate,3,UN1233,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Methyl amyl ketone, see Amyl methyl ketone",,,,,,,,,,,,,,
,N-Methylaniline,6.1,UN2294,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"alpha-Methylbenzyl alcohol, liquid",6.1,UN2937,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,"alpha-Methylbenzyl alcohol, solid",6.1,UN3438,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Methyl bromide,2.3,UN1062,,2.3,"3, B14, N86, T50",None,193,"314, 315",Forbidden,Forbidden,D,40,,
,"Methyl bromide and chloropicrin mixtures with > 2% chloropicrin, see Chloropicrin and methyl bromide mixtures",,,,,,,,,,,,,,
,"Methyl bromide and chloropicrin mixtures with not > 2% chloropicrin, see Methyl bromide",,,,,,,,,,,,,,
,"Methyl bromide and ethylene dibromide mixtures, liquid",6.1,UN1647,I,6.1,"2, B9, B14, B32, B74, N65, T20, TP2, TP13, TP38, TP44",None,227,244,Forbidden,Forbidden,C,40,,
,Methyl bromoacetate,6.1,UN2643,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,D,40,,
,3-Methylbutan-2-one,3,UN2397,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,N-Methylbutylamine,3,UN2945,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,40,,
,Methyl butyrate,3,UN1237,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methyl chloride and chloropicrin mixtures, see Chloropicrin and methyl chloride mixtures",,,,,,,,,,,,,,
,Methyl chloride and methylene chloride mixtures,2.1,UN1912,,2.1,"N86, T50",306,304,"314, 315",Forbidden,150 kg,D,40,,
,Methyl chloride or Refrigerant gas R 40,2.1,UN1063,,2.1,"N86, T50",306,304,"314, 315",5 kg,100 kg,D,40,,
,Methyl chloroacetate,6.1,UN2295,I,"6.1, 3","T14, TP2, TP13",None,201,243,1 L,30 L,D,,,
,"Methyl chlorocarbonate, see Methyl chloroformate",,,,,,,,,,,,,,
,Methyl chloroformate,6.1,UN1238,I,"6.1, 3, 8","1, B9, B14, B30, B72, N34, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,"21, 40, 100",,
,"Methyl chloroform, see 1,1,1-Trichloroethane",,,,,,,,,,,,,,
,Methyl chloromethyl ether,6.1,UN1239,I,"6.1, 3","1, B9, B14, B30, B72, T22, TP2, TP38, TP44",None,226,244,Forbidden,Forbidden,D,40,,
,Methylchlorosilane,2.3,UN2534,,"2.3, 2.1, 8","2, B9, B14, N34",None,226,"314, 315",Forbidden,Forbidden,D,"17, 40",,
,Methylcyclohexane,3,UN2296,II,3,"B1, IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Methylcyclohexanols, flammable",3,UN2617,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Methylcyclohexanone,3,UN2297,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Methylcyclopentane,3,UN2298,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Methyl dichloroacetate,6.1,UN2299,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
D ,Methyldichloroarsine,6.1,NA1556,I,6.1,"2, T20, TP4, TP12, TP13, TP38, TP45",None,192,None,Forbidden,Forbidden,D,40,,
,Methyldichlorosilane,4.3,UN1242,I,"4.3, 8, 3","A2, A3, A7, B6, B77, N34, T10, TP2, TP7, TP13",None,201,243,Forbidden,1 L,D,"21, 28, 40, 49, 100",,
,"Methylene chloride, see Dichloromethane",,,,,,,,,,,,,,
,Methylene glycol dinitrate,Forbidden,,,,,,,,,,,,,
,"Methyl ethyl ether, see Ethyl methyl ether",,,,,,,,,,,,,,
,"Methyl ethyl ketone peroxide, in solution with > 9% by mass active oxygen",Forbidden,,,,,,,,,,,,,
,"Methyl ethyl ketone, see Ethyl methyl ketone",,,,,,,,,,,,,,
,"Methyl fluoride, or Refrigerant gas R 41",2.1,UN2454,,2.1,,306,304,"314, 315",Forbidden,150 kg,E,40,,
,Methyl formate,3,UN1243,I,3,"T11, TP2",150,201,243,1 L,30 L,E,,,
,2-Methylfuran,3,UN2301,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,,,
,a-Methylglucoside tetranitrate,Forbidden,,,,,,,,,,,,,
,a-Methylglycerol trinitrate,Forbidden,,,,,,,,,,,,,
,5-Methylhexan-2-one,3,UN2302,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Methylhydrazine,6.1,UN1244,I,"6.1, 3, 8","1, B7, B9, B14, B30, B72, B77, N34, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,"21, 40, 49, 52, 100",,
